"COURSEID","LO"
"COSC 4740","Explain the organization of the classical von Neumann machine and its major functional units."
"COSC 4785","Identify the main types of memory technology (eg, SRAM, DRAM, Flash, magnetic disk) and their relative cost and performance."
"COSC 4750","Identify the main types of memory technology (eg, SRAM, DRAM, Flash, magnetic disk) and their relative cost and performance."
"COSC 3750","Describe data access from a magnetic disk drive."
"COSC 4780","Describe superscalar architectures and their advantages."
"COSC 4760","Describe superscalar architectures and their advantages."
"COSC 4780","Explain the concept of branch prediction and its utility."
"COSC 4820","Explain the concept of modeling and the use of abstraction that allows the use of a machine to solve a problem."
"COSC 4100","Explain the concept of modeling and the use of abstraction that allows the use of a machine to solve a problem."
"COSC 4200","Describe the relationship between modeling and simulation, ie, thinking of simulation as dynamic modeling."
"COSC 4210","Explain what is meant by best, expected, and worst case behavior of an algorithm."
"COSC 1010","Explain what is meant by best, expected, and worst case behavior of an algorithm."
"COSC 1010","In the context of specific algorithms, identify the characteristics of data and/or other conditions or assumptions that lead to different behaviors."
"COSC 4220","Use a greedy approach to solve an appropriate problem and determine if the greedy rule chosen leads to an optimal solution."
"COSC 1030","Implement basic numerical algorithms."
"COSC 2150","Discuss the concept of finite state machines."
"COSC 2030","Discuss the concept of finite state machines."
"COSC 3011","Define the classes P and NP (Also appears in AL/Basic Automata, Computability, and Complexity)."
"COSC 3050","Determine a language’s place in the Chomsky hierarchy (regular, context-free, recursively enumerable)."
"COSC 3020","Determine a language’s place in the Chomsky hierarchy (regular, context-free, recursively enumerable)."
"COSC 4950","Convert among equivalently powerful notations for a language, including among DFAs, NFAs, and regular expressions, and between PDAs and CFGs."
"COSC 4955","Understand the mapping of real-world problems to algorithmic solutions (eg, as graph problems, linear programs, etc)."
"COSC 2300","Select and apply advanced analysis techniques (eg, amortized, probabilistic, etc) to algorithms."
"COSC 3015","Comprehend the trend of modern computer architectures towards multi-core and that parallelism is inherent in all hardware systems."
